bbw_width_pct,days_in_squeeze,volume_multiple,close_high_ratio,rsi_absolute,rsi_delta,atr_pct,distance_from_50sma,nifty_trend,nifty_distance_from_50sma,relative_strength_125,prior_runup_90,symbol,signal_date,target,trade_pnl
7.9378,42,5.4848,0.8119,69.9308,11.3505,3.5029,0.0952,1,0.0719,0.8177,15.6581,360ONE,2021-02-05,0,1.7912
8.8281,20,5.3512,0.8587,67.2741,10.6687,3.4702,0.1064,1,0.0463,1.3378,51.7706,360ONE,2021-10-21,0,-14.3592
7.4969,36,6.6105,0.6892,69.9366,14.7269,3.4877,0.1035,1,0.0198,1.1992,10.8477,360ONE,2022-09-16,0,0.6826
5.182,37,5.3472,0.6042,61.0034,8.9089,2.9019,0.0392,1,0.0496,1.1345,18.5489,360ONE,2022-11-29,0,-8.3652
5.4196,86,2.3274,0.9023,66.5921,10.2634,1.9895,0.0465,1,0.0332,0.9849,-5.0249,360ONE,2023-06-13,0,-2.7666
7.8354,30,2.1125,0.8311,67.8451,9.9267,2.9791,0.0882,1,0.0237,1.1189,33.2025,360ONE,2023-09-11,0,-11.6405
9.8386,3,2.6662,0.8763,66.3034,12.0411,3.593,0.0678,1,0.0125,1.2514,39.7768,360ONE,2024-02-13,0,-3.5458
8.6879,9,3.9683,0.7659,65.9764,8.2986,4.2255,0.1003,1,0.0393,1.1904,41.619,360ONE,2024-06-19,0,16.7394
12.8955,0,2.788,0.8332,68.5945,9.0104,3.5044,0.128,1,0.0501,1.2486,36.5104,360ONE,2024-06-26,0,12.1882
9.4124,4,2.092,0.8471,69.2023,8.8818,4.1403,0.2125,1,0.0502,1.4963,53.8044,360ONE,2024-07-29,0,-7.5944
5.9498,28,4.6885,0.2175,58.697,11.4364,3.2318,0.0492,0,-0.0103,0.9863,16.0169,360ONE,2026-01-16,0,-8.845
4.5343,24,1.7775,0.4587,65.0152,10.01,2.0297,0.014,1,0.0354,0.8361,3.1288,3MINDIA,2017-03-31,0,13.6602
3.7833,41,1.7663,0.7133,60.6705,17.0977,2.0642,0.0132,1,0.0309,1.0358,23.9786,3MINDIA,2017-08-07,0,12.3446
6.6494,52,2.148,0.9071,66.6088,9.0875,2.7476,0.0548,1,0.0054,1.1648,19.1832,3MINDIA,2017-08-23,0,2.0425
3.5004,90,4.8103,0.8908,61.6859,12.3654,2.171,0.037,1,0.0247,1.1093,0.2408,3MINDIA,2018-07-17,0,19.6973
7.8956,22,6.0069,0.9042,66.278,15.0965,2.4509,0.0564,0,-0.0154,0.9545,2.0778,3MINDIA,2019-02-18,0,4.0531
6.4327,57,8.6084,0.4855,69.4433,14.0898,2.6075,0.056,0,-0.014,1.0193,13.631,3MINDIA,2020-01-31,0,-3.2499
9.8816,1,8.7208,0.229,57.7297,26.6041,3.8296,-0.006,0,-0.0152,0.7902,-22.3907,3MINDIA,2022-05-30,0,18.2292
4.5959,39,2.326,0.7577,66.6056,15.4572,2.4953,0.0458,1,0.0198,1.1779,32.2083,3MINDIA,2022-09-16,0,-0.6597
4.5533,132,2.1283,0.7225,65.6913,10.476,1.9836,0.026,0,-0.0309,1.0326,5.1658,3MINDIA,2023-01-31,0,-6.6011
5.8059,34,2.2231,0.8612,62.6932,9.2668,3.3126,0.0678,1,0.0098,1.1768,28.7852,3MINDIA,2023-08-11,0,2.046
4.9997,43,2.4834,0.9383,64.8252,11.2505,2.3825,0.0372,0,-0.0358,1.1544,-3.8869,3MINDIA,2024-10-31,0,-6.833
8.2081,19,1.9015,0.6892,59.6692,9.5164,3.1941,0.0288,1,0.0225,0.9314,-9.4438,3MINDIA,2025-03-28,0,-0.9704
3.8948,65,7.045,0.7586,62.9378,14.8093,1.8078,0.0244,1,0.0236,0.997,9.8974,3MINDIA,2025-11-03,0,1.9298
3.411,21,4.2646,0.6282,56.4636,11.1596,2.3226,0.0362,1,0.0004,1.239,13.2542,3MINDIA,2025-12-30,0,-4.1297
7.4623,48,1.8842,0.5059,62.7132,8.3947,3.1911,0.0469,1,0.0017,1.1223,25.163,3MINDIA,2026-02-09,0,-7.5986
9.2359,24,1.6339,0.8174,67.4551,10.1332,3.9054,0.0738,0,-0.0259,1.1013,-5.262,AADHARHFC,2025-03-07,0,6.7072
7.4242,52,4.3453,0.6843,67.6102,9.7916,2.8099,0.0674,1,0.0085,1.0793,26.6128,AADHARHFC,2025-07-15,0,7.8616
5.2729,26,5.4052,0.7149,65.6875,8.1495,2.5195,0.0729,1,0.0139,1.151,21.9639,AADHARHFC,2025-09-16,0,-8.5303
3.6195,100,3.6467,0.699,59.3016,13.5243,2.3988,0.0171,1,0.0145,1.0417,-4.0816,AADHARHFC,2026-01-02,0,-7.5235
6.284,144,2.8934,0.6802,57.4506,15.0499,4.5864,0.0154,0,-0.0602,0.9656,-5.918,AADHARHFC,2026-03-09,0,-2.5695
6.5642,22,1.9268,0.8771,66.7877,8.5466,2.9048,0.0874,1,0.0053,1.0,0.0,AARTIIND,2016-10-03,0,2.1674
9.5943,3,6.3674,0.3876,64.309,12.6398,4.5756,0.0997,1,0.0185,1.104,27.1821,AARTIIND,2017-06-15,0,-0.7844
