bbw_width_pct,days_in_squeeze,volume_multiple,close_high_ratio,rsi_absolute,rsi_delta,atr_pct,distance_from_50sma,nifty_trend,nifty_distance_from_50sma,relative_strength_125,prior_runup_90,symbol,signal_date,target,trade_pnl,source_batch
10.2372,8,5.7801,0.7318,62.3601,10.4859,4.2069,0.0499,1,0.0236,1.6154,24.6169,ALPEXSOLAR,2025-11-03,0,-14.036,Batch 1
10.4693,2,2.1555,1.0,65.9915,10.024,4.997,0.1836,0,-0.0488,1.0,3.319,ATLANTAELE,2026-03-10,1,88.3167,Batch 1
6.7549,72,2.9532,0.7956,64.2747,14.6922,3.8647,0.0298,1,0.0171,0.9091,-13.1916,BONDADA,2025-10-10,0,4.1469,Batch 1
8.6938,7,4.5671,1.0,59.9721,17.0689,3.6924,0.0699,0,-0.0025,1.0,-12.7444,CRIZAC,2026-05-25,0,-10.6236,Batch 1
10.3194,3,5.4295,0.6315,63.8568,14.6133,3.7022,0.0069,1,0.0144,1.0,-0.2604,DPABHUSHAN,2025-04-02,0,-12.0067,Batch 1
6.0339,25,6.6552,0.673,59.7826,11.4155,3.0936,0.0385,1,0.0224,0.9615,-1.2047,DPABHUSHAN,2025-07-09,0,1.5755,Batch 1
10.3675,31,3.2291,0.8425,69.1669,8.8943,3.2591,0.0934,0,-0.0027,0.9515,15.1476,DPABHUSHAN,2025-07-18,0,-6.1044,Batch 1
5.978,10,10.0436,0.42,59.03,12.8226,2.9808,-0.0108,1,0.0236,1.0145,1.6123,DPABHUSHAN,2025-11-03,0,-2.2845,Batch 1
11.3707,2,2.127,0.829,64.4692,8.9687,5.3613,0.1235,1,0.0507,1.0,-10.0102,FRONTSP,2025-04-22,0,-12.2185,Batch 1
8.5196,19,4.9712,0.9123,59.0826,16.571,4.4148,0.0268,1,0.023,1.9175,-5.707,FRONTSP,2025-11-13,0,-19.2137,Batch 1
10.6336,7,9.3124,0.842,67.0066,14.2398,4.1818,0.2202,1,0.0167,0.8833,26.4342,GARUDA,2025-07-10,1,30.2215,Batch 1
8.5391,21,4.1985,0.7876,65.3278,9.1344,4.2566,0.0906,1,0.0014,1.0814,43.9437,GOKULAGRO,2025-08-20,0,8.6756,Batch 1
13.6323,1,7.1763,0.7279,67.5148,10.8333,4.399,0.0958,1,0.023,1.5094,32.5091,GOKULAGRO,2025-11-13,0,-7.0853,Batch 1
9.9698,4,3.2035,0.8964,57.7215,13.7057,4.6732,-0.0134,1,0.0027,1.1295,-10.5762,GOKULAGRO,2026-02-09,0,-12.3842,Batch 1
13.7753,14,17.5752,1.0,69.0709,26.2174,4.4641,0.1567,0,-0.066,1.031,9.6504,GOKULAGRO,2026-03-17,0,13.9995,Batch 1
